span_id	source_ref	kind	status	proposition	ontology_terms	competency_test
50-1-1:p1	§50-1-1	name	declarative	Chapter 50 is named Detroit Zoning Ordinance	LegalInstrument,Title	name round-trip
50-1-2:p1	§50-1-2	authority	declarative	Chapter enacted pursuant to state powers and limits including two named acts	LegalAuthority,EnablingAct,Chapter	retain nonexclusive including relation
50-1-3:p1	§50-1-3	applicability	executable	Chapter applies to all City land unless exempt from local zoning	Land,City,GovernmentOwner,Exemption	inside/not exempt passes; exempt fails
50-1-4:p1	§50-1-4	purpose	interpretive	Chapter guides and regulates land use and development for public welfare	Purpose,LandUse,Development,PublicWelfare	preserve as interpretive purpose
50-1-5:1	§50-1-5	purpose	interpretive	Classify land by suitability for uses	Land,Use,Suitability	preserve enumerated purpose
50-1-5:2	§50-1-5	purpose	interpretive	Regulate location construction reconstruction alteration and use	Building,Structure,Land,RegulatedActivity	preserve enumerated purpose
50-1-5:3	§50-1-5	purpose	interpretive	Ensure light air privacy safety and access	PublicBenefit,Access	preserve enumerated purpose
50-1-5:4	§50-1-5	purpose	interpretive	Conserve or enhance property values	PropertyValue	preserve enumerated purpose
50-1-5:5	§50-1-5	purpose	interpretive	Protect City areas from incompatible-use encroachment	CityArea,Use,Compatibility	preserve enumerated purpose
50-1-5:6	§50-1-5	purpose	interpretive	Prevent building overcrowding of land	Land,Building,Density	preserve enumerated purpose
50-1-5:7	§50-1-5	purpose	interpretive	Avoid undue population congestion	Population,Congestion	preserve enumerated purpose
50-1-5:8	§50-1-5	purpose	interpretive	Establish reasonable conformity standards	Standard,Building,Structure,Use	preserve enumerated purpose
50-1-5:9	§50-1-5	purpose	interpretive	Lessen street congestion through off-street parking and loading	Street,Parking,Loading,Congestion	preserve means and objective
50-1-5:10	§50-1-5	purpose	interpretive	Facilitate adequate public requirements	PublicService,Transportation,Utility,Education,Recreation	preserve nonexclusive list
50-1-5:11	§50-1-5	purpose	interpretive	Provide elimination of nonconforming structures and uses	Nonconformity,Building,Structure,Use	preserve enumerated purpose
50-1-5:12	§50-1-5	purpose	interpretive	Promote visual environment through development and civic design	VisualEnvironment,DevelopmentTechnique,CivicDesign	preserve means and objective
50-1-5:13	§50-1-5	purpose	interpretive	Protect resources and ensure environmental-law consistency	NaturalResource,SensitiveArea,EnvironmentalLaw	preserve conjunction
50-1-5:14	§50-1-5	purpose	interpretive	Define administrative powers and duties	AdministrativeBody,Power,Duty	preserve enumerated purpose
50-1-5:15	§50-1-5	purpose	interpretive	Provide penalties for Chapter violations and amendments	Penalty,Violation,Amendment	preserve enumerated purpose
50-1-5:16	§50-1-5	purpose	interpretive	Provide BZA and its powers and duties	BZA,Power,Duty	preserve enumerated purpose
50-1-6:p1	§50-1-6	interpretation	interpretive	Unless otherwise stated Chapter provisions are minimum requirements serving named purposes	Provision,MinimumRequirement,Purpose,DistrictDescription	default overridden by express statement
50-1-7:1	§50-1-7	boundary	executable	Approximate mapped boundaries follow named lines or their extensions unless otherwise shown	DistrictBoundary,Map,StreetLine,AlleyLine,PlatLine	mapped approximation resolves to qualifying line
50-1-7:2	§50-1-7	boundary	executable	Unsubdivided parallel strip dimensions are measured at right angles with mapped frontage	DistrictBoundary,Strip,StreetLine,HighwayLine,Length	depth uses perpendicular map dimension
