case_history_id,project_type_family,project_type_label,proposed_action,intensity_direction,urban_form_orientation,proposal_language_tone,housing_units,summary,evidence,confidence,alternative_type
bza-01-19-6ca8bb24fa,mixed_use,High Rise Mixed-use Development,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,"Construct a high-rise mixed-use development with residential, retail, and office spaces.","['construct a 862,503 square foot High Rise Mixed-use Development with Residential structures, Retail and Office']",high,housing
bza-01-22-5580a4e30b,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Develop a 23-space accessory parking lot on vacant land to serve a nearby medical marijuana facility.,"['development of a 23-space Accessory Parking Lot', 'on existing vacant land']",high,
bza-01-23-b0171819a2,industrial_or_logistics,concrete crushing and processing facility,new_construction,adds_homes_or_activity,industrial_or_freight_oriented,adverse,0.0,Establish a high-impact manufacturing or processing facility for crushing rock and concrete on a vacant site.,"['establishment of a very high-impact manufacturing or processing facility', 'could pose an adverse public health, noise, and safety hazard for residents']",high,
bza-02-23-09191613e4,cannabis_or_controlled_use,marijuana grower and processor facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establishing a marijuana grower and processor facility within an existing 30,315 square foot industrial building.","['establish a Marijuana Grower Facility (MGF)', 'Marijuana Processor Facility (MPF)', 'existing 30,315 square foot building']",high,
bza-03-23-cdc3a2629c,cannabis_or_controlled_use,"marijuana retail, processing, and consumption facility",change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,0.0,"Establish a marijuana retail, processing, and consumption facility.","['establishment of a Marijuana Retail/Provisioning Facility, Marijuana Processor Facility, and a Marijuana Designated Consumption Establishment']",high,
bza-04-21-d519a3c5a2,vehicle_oriented,gas station,new_construction,adds_homes_or_activity,automobile_oriented,adverse,,"Appeal of a denial to construct a new gas station on a vacant lot, cited for existing code violations and incompatibility with nearby school bus stops.","['Construction of a 2,475 square foot building', 'accommodate a Motor Vehicle Filling Station', 'detrimental to or endanger the social, physical, environmental or economic well-being']",high,
bza-05-21-9b7c537c06,institutional_or_civic,university student union,expansion,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,"The petitioner requests dimensional variances to renovate and expand a university student union, specifically regarding upper-level window transparency on a Traditional Main Street.","['renovate and add an addition to the existing University of Detroit Student Union', 'deficient amount of transparent doors and windows']",high,
bza-05-23-5a53c91971,housing,residential lofts,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,162.0,Renovate an existing building to establish 162 residential loft units.,"['renovate an existing 110,000 square foot building to establish 162 residential Loft units']",high,
bza-06-17-1938c13e88,cannabis_or_controlled_use,Medical Marijuana Caregiver Center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"Establish a medical marijuana caregiver center in an existing 3,600 square foot building.","['establish a Medical Marijuana Caregiver Center (MMCC)', 'in an existing approximate 3,600 square foot building']",high,retail_or_personal_service
bza-06-21-e118eb8f66,housing,Apartment buildings,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,24.0,Request for dimensional variances for deficient parking to support two multiple-family dwelling buildings totaling 24 units.,"['proposed use of Multiple-family dwellings', 'BUILDING 1: (2 story, 4,024 square foot, 8 dwelling units)', 'BUILDING 2: (2 story, 7,944 square foot, 16 unit building)']",high,change_of_use
bza-06-22-239afc0021,office_or_medical,digital animation studio office,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Requesting a parking variance to establish an office for a digital animation studio.,"['parking variance) for office use', 'for a digital animation studio']",medium,
bza-06-23-06ef82a262,cannabis_or_controlled_use,marijuana grower and processor facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,adverse,0.0,Establish a marijuana grower and processor facility in an existing building.,"['establishment of a Marijuana Grower Facility', 'negative impact on the community', 'injurious to the use and enjoyment of other properties']",high,
bza-07-23-9b431ff07a,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Developing a 26-space accessory parking lot to serve a nearby office development.,"['develop a 26-space accessory parking lot', 'serve a 6,276 square foot office development project']",high,office_or_medical
bza-08-23-aa01dd18f0,food_or_beverage,restaurant with alcohol sales,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"Establishing a standard restaurant with alcohol sales in an existing one-story building, requiring a parking variance.","['establish a Standard Restaurant with the sale of beer or alcoholic liquor', 'existing one story approximately 4,650 square foot building']",high,
bza-09-23-2b90c325ff,housing,front yard parking area for single-family dwelling,site_or_building_alteration,maintains_existing_activity,automobile_oriented,neutral,,Requesting a waiver to allow a front yard parking area/driveway for a single-family dwelling.,"['driveway – Single Family Dwelling', 'Parking area is proposed in the front yard']",medium,parking_only
bza-1-19-b17dd09224,mixed_use,high-rise mixed-use development,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,"Construction of a massive high-rise mixed-use tower containing residential, retail, and office space.","['construct a 946,526 square foot High Rise Mixed-use Development', 'Residential structures, Retail and Office', 'proposed mixed use high rise tower is 535 feet high']",high,
bza-1-20-b402ab3506,retail_or_personal_service,Office and retail space,change_of_use,maintains_existing_activity,mixed_or_neutral,adverse,,"Proposal to change a non-conforming dry cleaners into an office and retail space, noted for lacking required screening and dumpster enclosures.","['change an existing non-conforming Dry Cleaners', 'to a non-conforming Office Retail', 'No right of way screening, residential screening, dumpster enclosure']",high,office_or_medical
bza-1-21-97e069a509,housing,Apartment building,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,8.0,"Request for dimensional variances to construct a new 3-story, 8-unit multi-family dwelling on vacant land with deficient setbacks and excessive lot coverage.","['proposed construction of an 8 units, 3 story Multi-Family Dwelling', 'on 12,428 square feet of vacant land', 'Deficient front yard setback 9’ provided']",high,
bza-1-24-938659c379,unclear,unknown,unclear,unclear_or_not_applicable,unclear_or_not_applicable,insufficient_text,,Case dismissed due to lack of petitioner response; no project details provided.,"['petitioner has not responded', 'Dismiss the Case']",high,
bza-1-25-e8e3ff71db,recreation_or_open_space,pool hall,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Request for a dimensional spacing variance to establish a pool hall in an existing building.,"['establish a Pool Hall in an existing 2,958 Square foot building']",high,retail_or_personal_service
bza-10-20-4e6d17ae69,mixed_use,mixed-use high-rise development,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,150.0,"Develop a 49-story tower and an 11-story block building containing residential units, a hotel, office space, event space, and retail.","['develop a 49 story, 680 feet high Tower building', 'Residential with 150 units', '11 story, 232 foot high Block Building']",high,
bza-10-21-ae57d08409,housing,Townhouses,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,7.0,Request for dimensional variances to construct two townhouse buildings totaling seven units with deficient front setbacks and parking.,"['proposed construction of two separate townhouse buildings', 'total of seven townhouse units', 'deficient front setbacks', 'deficient parking']",high,
bza-10-24-4e76e64453,food_or_beverage,cabaret and bar,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establishment of a cabaret with alcohol consumption and live entertainment in an existing building.,"['establish a Cabaret', 'Alcohol Consumption on Premises with Live Entertainment']",high,recreation_or_open_space
bza-10-25-d76fac624f,food_or_beverage,restaurant with drive-through,change_of_use,maintains_existing_activity,automobile_oriented,neutral,,Change of nonconforming use from a bank with a drive-through to a standard restaurant with a drive-through.,['change from one nonconforming use (Bank with drive thru) to another nonconforming use (Standard Restaurant with drive thru)'],high,retail_or_personal_service
bza-100-19-fe808d91c8,industrial_or_logistics,transfer center,site_or_building_alteration,maintains_existing_activity,industrial_or_freight_oriented,adverse,0.0,"Modify grant conditions at an existing transfer center, which appellants claim will be detrimental to the surrounding area.","['modify BSEED #126-95 grant conditions at a Transfer Center', 'will be detrimental', 'detrimental effect upon vehicular turning patterns']",high,continue_or_legalize_existing_condition
